央视频道,#genre#
CCTV-1HD,http://27.148.240.138/PLTV/88888888/224/3221226773/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoZ-ICuHW6yqOfZGPqMmekg%7EtaBSh2ikAZOgZpaWWm7p-2l89BPVTVtsRAe9bvTBI4I-94QlgeGu6Kn3ZNGPmS4rJewGgMD2bXWlEoOhQ8IOrdFzom3UHbf862JN6bdDQu0%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20190928020517%2C2470444%2C218.66.114.183%2C20190928020517%2CUmai%3ACHAN%2F111128%40BESTV.SMG.SMG%2C247044420190928020517%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHBRABDzthTEwMHkCvpm5lEgqbG5j49sLk1vb7v_SfHEg8H8U4EzGP78qIhEkg6kZdGbWie10-kpzHacGTdMcL1qzOiUCLKESreXii25bFq9F9OolC-ZZbgu_siHvbhfnmaMMMm-13vM8OWZSnRRbFOZvWawO-Xwh7gS_NYMGhuhgdBNECeWQWZA8aKxjwXz54V6eWJj8jGGYo1QAAAA 
CCTV-2财经,rtsp://27.148.216.1:554/live/ch17092208064869858322.sdp?playtype=1&FccMediaIP=239.61.2.174&FccMediaPort=9032&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch17092208064869858322&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfFOsjityppUy5RPp%2B1c56WCMCmIkcYySp%2B97NriDDKpLVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
CCTV-3HD,rtsp://27.148.216.1:554/live/ch20122816275150505818.sdp?playtype=1&FccMediaIP=239.61.3.34&FccMediaPort=9722&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch20122816275150505818&ctype=2&TSTVTimeLife=60&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfCoWk%2B%2FHfyqmWmGYT3Qw0SZAgtgQNwwzPmcZFCNqz5fWVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
CCTV-4中文国际,rtsp://27.148.216.1:554/live/ch17081011542536199690.sdp?playtype=1&FccMediaIP=239.61.2.206&FccMediaPort=9224&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch17081011542536199690&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfBxxk%2BAH1N3U0kNliZ2ZyKxPVa1rJI4SML98IKKqHB72VpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
CCTV-5HD,rtsp://27.148.216.1:554/live/ch20122816284434600276.sdp?playtype=1&FccMediaIP=239.61.3.35&FccMediaPort=9728&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch20122816284434600276&ctype=2&TSTVTimeLife=60&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfCoWk%2B%2FHfyqmWmGYT3Qw0SZtZ9L5jXH1UNX8aEK0xob7VpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
CCTV-5+HD,rtsp://27.148.216.3:1554/iptv/import/Tvod/iptv/001/001/ch17092110522954055086.rsc/52432_Uni.sdp?lvst=3&nodeid=node19012121024992&TSTVTimeLife=60&userid=5912753058589&userip=121.204.102.35&time=20220604125406.050+00&life=86400000&needrelay=0&transferproviderid=001&ctype=01&sid=198317099&domain=0&phycid=ch17092110522954055086&playtype=1&ifpricereqsnd=1&boid=001&authid=0&mediaid=ch17092110522954055086&urtm=0&agnt=MjcuMTQ4LjIxNi4xOjU1NA&sadr=MjcuMTQ4LjIxNi4z&iptvsessionid=Agent1660720220604125406051333&cryptmode=0502&crypt=6C64B900BA5A19140CD88F46DFB05E38 RTSP/1.0
CCTV-6电影,rtsp://27.148.216.16:1554/iptv/import/Tvod/iptv/001/001/ch20122816292260718026.rsc/57658_Uni.sdp?lvst=3&nodeid=node19012121024992&TSTVTimeLife=60&userid=5912753058589&userip=121.204.102.35&time=20220604125408.910+00&life=86400000&needrelay=0&transferproviderid=001&ctype=01&sid=198317159&domain=0&phycid=ch20122816292260718026&playtype=1&ifpricereqsnd=1&boid=001&authid=0&mediaid=ch20122816292260718026&urtm=0&agnt=MjcuMTQ4LjIxNi4xOjU1NA&sadr=MjcuMTQ4LjIxNi4xNg&iptvsessionid=Agent1660720220604125408914333&cryptmode=0502&crypt=DD283CABD23877D7D8E5C5752FE45F41
CCTV-7国防军事,http://27.148.240.138/PLTV/88888888/224/3221226780/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EI1abNkZJK9XkZSbSzFAv6Q%7EtaBSh2ikAZOgZpaWWm7p-2l89BPVTVtsRAe9bvTBI4I-94QlgeGu6Kn3ZNGPmS4rJewGgMD2bXWlEoOhQ8IOrdFzom3UHbf862JN6bdDQu0%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20190928020517%2C2470444%2C218.66.114.183%2C20190928020517%2CUmai%3ACHAN%2F3550356%40BESTV.STA.SMG%2C247044420190928020517%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHBRABDzthTEwMHkCvpm5lEgqbG5j49sLk1vb7v_SfHEg8H8U4EzGP78qIhEkg6kZdGbWie10-kpzHacGTdMcL1qzOiUCLKESreXii25bFq9F9OolC-ZZbgu_siHvbhfnmaMMMm-13vM8OWZSnRRbFOZvWawO-Xwh7gS_NYMGhuhgdBNECeWQWZA8aKxjwXz54V6eWJj8jGGYo1QAAAA
CCTV-8HD,rtsp://27.148.216.1:554/live/ch20122816295372138106.sdp?playtype=1&FccMediaIP=239.61.3.37&FccMediaPort=9740&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch20122816295372138106&ctype=2&TSTVTimeLife=60&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfCoWk%2B%2FHfyqmWmGYT3Qw0Sb2lzldhqmI1JSYAaN%2BsSHlVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
CCTV-9纪录,rtsp://27.148.216.15:1554/iptv/import/Tvod/iptv/001/001/ch17092110534875474266.rsc/52433_Uni.sdp?lvst=3&nodeid=node19012121024992&TSTVTimeLife=7200&userid=5912753058589&userip=121.204.102.35&time=20220604125417.170+00&life=86400000&needrelay=0&transferproviderid=001&ctype=01&sid=198317337&domain=0&phycid=ch17092110534875474266&playtype=1&ifpricereqsnd=1&boid=001&authid=0&mediaid=ch17092110534875474266&urtm=0&agnt=MjcuMTQ4LjIxNi4xOjU1NA&sadr=MjcuMTQ4LjIxNi4xNQ&iptvsessionid=Agent1660720220604125417176079&cryptmode=0502&crypt=C7B9274AD80F858075249BC4A8076C9D RTSP/1.0
