福建,#genre#
福建综合,rtsp://27.148.216.1:554/live/ch18122115512978075826.sdp?playtype=1&FccMediaIP=239.61.3.4&FccMediaPort=9542&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch18122115512978075826&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfBUCWFUerXcy0ggx1hl%2B8DyrJfVT3NnDqoOxZQNGwwSlVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
福建新闻,rtsp://27.148.216.1:554/live/ch15102712014936453054.sdp?playtype=1&FccMediaIP=239.61.2.4&FccMediaPort=8018&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch15102712014936453054&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfDd1foSgWCoEk1T2Z6k6IBsEdX1iklmol2vx0g5oqWKLVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
海峡卫视,rtsp://27.148.216.1:554/live/ch17033111334107910034.sdp?playtype=1&FccMediaIP=239.61.2.151&FccMediaPort=8894&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch17033111334107910034&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfKEzVsQiww12qJUJHOYLLmvYe4U1gO1PKpjaJ3WDZdCbVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=2000&distype=0
东南卫视,rtsp://27.148.219.129:554/live/ch16042815324509410461.sdp?playtype=1&boid=001&backupagent=27.148.219.129:554&clienttype=1&time=20191117235503+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5922751202156&mediaid=ch16042815324509410461&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=65100499007034400000288CB89A9654&nodelevel=3&AuthInfo=BESeR9eMRDi8RsZJsJm5uVjKIGPXSLrTux8z3WpvG0ppRRvXyWYHYAXshGmKlw6TtcJ7NgDL0pa6L%2FNky0Uo7A%3D%3D&bitrate=6000 RTSP/1.0
厦门卫视HD,http://27.148.240.138/PLTV/88888888/224/3221226744/index.m3u8?rrsip=27.148.240.138&zoneoffset=480&servicetype=1&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ex8gyXqcnP8fPqzkN6AwiOA%7EtaBSh2ikAZOgZpaWWm7p-2l89BPVTVtsRAe9bvTBI4I-94QlgeGu6Kn3ZNGPmS4rJewGgMD2bXWlEoOhQ8IOrdFzom3UHbf862JN6bdDQu0%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20190928020517%2C2470444%2C218.66.114.183%2C20190928020517%2CUmai%3ACHAN%2F398252%40BESTV.STA.SMG%2C247044420190928020517%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHBRABDzthTEwMHkCvpm5lEgqbG5j49sLk1vb7v_SfHEg8H8U4EzGP78qIhEkg6kZdGbWie10-kpzHacGTdMcL1qzOiUCLKESreXii25bFq9F9OolC-ZZbgu_siHvbhfnmaMMMm-13vM8OWZSnRRbFOZvWawO-Xwh7gS_NYMGhuhgdBNECeWQWZA8aKxjwXz54V6eWJj8jGGYo1QAAAA
福建公共,rtsp://27.148.219.129:554/live/ch15102710565314111610.sdp?playtype=1&boid=001&backupagent=27.148.219.129:554&clienttype=1&time=20191117235503+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5922751202156&mediaid=ch15102710565314111610&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=65100499007034400000288CB89A9654&nodelevel=3&AuthInfo=BESeR9eMRDi8RsZJsJm5uQbgHoMPMbQhuo7ruVZoAa2Qt%2BAnb32XZUZzgl2r7BU2tcJ7NgDL0pa6L%2FNky0Uo7A%3D%3D&bitrate=6000 RTSP/1.0
福建电视剧,rtsp://27.148.216.1:554/live/ch15102717162032881873.sdp?playtype=1&FccMediaIP=239.61.2.5&FccMediaPort=8024&boid=001&backupagent=27.148.216.1:554&clienttype=1&time=20220604204229+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5912753058589&mediaid=ch15102717162032881873&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010049900E068000418002FD9EF1D9C&nodelevel=3&profilecode=&AuthInfo=Qd8yAB7ywdL1SlxlC5tWfFM6K0gjUQUOm9bP3zfzivE0KRDUrid575ksaWcm%2FqkvVpZS2qq73Y8WflQvUkG1Eg%3D%3D&bitrate=8000&distype=0
